Become A Seller,Word een Verkoper
URL key already exists.,URL sleutel bestaat al.
You saved this group.,U gered van deze groep.
Something went wrong while saving the seller.,Er is iets misgegaan bij het opslaan van de verkoper.
Invoices,facturen
Manage Invoices,Beheer Facturen
The message has been deleted.,Het bericht is verwijderd.
We can't find a message to delete.,We kunnen niet vinden van een bericht wilt verwijderen.
Messages,berichten
Manage Messages,Berichten beheren
You saved this message.,U heeft dit bericht opgeslagen.
Orders,bestellingen
Manage Orders,Manage Orders
Manager Payment Method,Manager Payment Method
Manager Payment,Manager Payment
You saved this payment.,U gered deze betaling.
Product has been set commission.,Product is set Commissie.
Ratings,Waarderingen
A total of %1 record(s) have been accept.,Totaal% 1 record (s) zijn accepteren.
A total of %1 record(s) have been reject.,Totaal% 1 record (s) zijn afwijzen.
You saved this rating.,U gered deze rating.
Something went wrong while saving the rating.,Er is iets misgegaan bij het opslaan van de rating.
Refunds,Restitutie
Manage Refunds,Beheer terugbetalingen
Refundrequests,Refundrequests
Manage Refundrequests,Beheer Refundrequests
Reviews,beoordelingen
Manage Reviews,Beheer Reviews
A total of %1 record(s) have been approved.,Totaal% 1 record (s) zijn goedgekeurd.
A total of %1 record(s) have been disapproved.,Totaal% 1 record (s) zijn afgekeurd.
The seller has been disapproved.,De verkoper is afgekeurd.
We can't find a seller to disapproved.,We kunnen een verkoper aan afgekeurde niet vinden.
The seller has been approved.,De verkoper is goedgekeurd.
We can't find a seller to approved.,We kunnen niet vinden van een verkoper aan goedgekeurd.
Something went wrong while saving the page.,Er is iets misgegaan bij het opslaan van de pagina.
You saved this seller.,U gered deze verkoper.
SellerProducts,SellerProducts
Manage SellerProducts,Beheer SellerProducts
A total of %1 record(s) have been accepted.,Totaal% 1 record (s) zijn aanvaard.
A total of %1 record(s) have been rejected.,Totaal% 1 record (s) zijn afgewezen.
Transactions,transacties
Manage Transactions,Beheer Transacties
Withdrawal,het terugtrekken
Manage Withdrawals,Beheer Onttrekkingen
This withdrawal no longer exits. ,Deze terugtrekking niet meer uitgangen.
Edit Withdrawal,bewerken Intrekking
	Withdraw Money : Amount ,Geld opnemen: Bedrag
You must have a seller account to access,U moet een verkoper-account om toegang te krijgen
You must have a account to access,U moet een rekening om toegang te krijgen
"Attribute ""%1"" is required.","Attribuut ""% 1"" is vereist."
You saved the category.,Je redde de categorie.
Something went wrong while saving the category.,Er is iets misgegaan bij het opslaan van de categorie.
This order no longer exists.,Deze bestelling bestaat niet meer.
You are not authorize to manage this order.,Je hebt geen toestemming om deze bestelling te beheren.
The invoice no longer exists.,De factuur bestaat niet meer.
You are not authorize to view this invoice.,Je hebt geen toestemming om deze factuur te bekijken.
The creditmemo no longer exists.,De Creditnota bestaat niet meer.
You are not authorize to view this creditmemo.,Je hebt geen toestemming om deze Creditnota bekijken.
The order has been cancelled.,De bestelling is geannuleerd.
You are not permitted to cancel this order.,Het is niet toegestaan ​​om deze bestelling te annuleren.
We can't cancel order right now.,We kunnen niet Om nu te annuleren.
The credit memo's total must be positive.,totaal de creditnota's moet positief zijn.
Cannot create online refund for Refund to Store Credit.,Kan geen online restitutie voor terugbetaling aan Store Credit.
You created the credit memo.,U schiep de creditnota.
We can't create credit memo for order right now.,We kunnen niet maken creditnota voor bestelling op dit moment.
You sent the order email.,Je stuurde de bestelling e-mail.
We can't send the email order right now.,We kunnen niet het e-order op dit moment te sturen.
Can not create invoice as order is in HOLD state,Kan de factuur niet maken als bestelling is in HOLD toestand
We can't save the invoice right now.,We kunnen niet de factuur op dit moment op te slaan.
You can't create an invoice without products.,U kunt een factuur zonder producten die niet te maken.
Invoice has been created for this order.,Factuur is gemaakt voor deze bestelling.
Cannot create Invoice for this order.,Kan Factuur niet maken voor deze bestelling.
We can't create invoice for order right now.,We kunnen geen factuur voor bestelling op dit moment te maken.
Can not create shipment as order is in HOLD state,Kan de verzending niet aanmaken als bestelling is in HOLD toestand
Cannot do shipment for the order separately from invoice.,Kan niet zending apart te doen voor de opdracht van de factuur.
Cannot do shipment for the order.,Kan de verzending niet voor de order.
The shipment has been created.,De zending is gemaakt.
The shipping label has been created.,De verzendkosten label is gemaakt.
We can't ship order right now.,We kunnen niet verzenden bestelling op dit moment.
That product is not yours,Dat product is niet van jou
This product no longer exists.,Dit product bestaat niet meer.
Catalog,Catalogus
Default Values,Standaard waarden
Could not get preview image information. Please check your connection and try again.,Kon voorbeeld beeldinformatie niet. Controleer je verbinding en probeer het opnieuw.
Please correct the data sent value.,Corrigeer de gegevens verzonden waarde.
Show more,Laat meer zien
Additional data,Aanvullende gegevens
Following Error(s) has been occurred during importing process:,Volgende fout (en) is opgetreden tijdens het importeren proces:
Only the first 100 errors are shown. ,Alleen de eerste 100 fouten worden getoond.
in row(s):,in Rijen):
Please make sure to define SKU values for all processed products.,Zorg ervoor dat u SKU waarden te definiëren voor alle verwerkte producten.
A total of %1 record(s) have been updated.,Totaal% 1 record (s) zijn bijgewerkt.
Something went wrong while updating the product(s) status.,Er is iets misgegaan tijdens het bijwerken van de (s) status van het apparaat.
"Your product limit is %1, please upgrade the membership package","Uw limiet product is% 1, dan kunt u een upgrade van het lidmaatschap pakket"
There is no data for the export.,Er zijn geen gegevens voor de export.
Maximum error count has been reached or system error is occurred!,Maximum aantal fouten is bereikt of het systeem fout is opgetreden!
Import successfully done,Import succes gedaan
Unable to save product,Kan product op te slaan
You saved the product.,U het product opgeslagen.
SKU for product %1 has been changed to %2.,SKU productinformatie% 1 is gewijzigd in% 2.
You duplicated the product.,U gedupliceerd het product.
The image cannot be removed as it has been assigned to the other image role,Het beeld kan niet worden verwijderd als zij aan de andere afbeelding rol toegewezen
"Sorry, but the data is invalid or the file is not uploaded.","Sorry, maar de gegevens is ongeldig of het bestand is niet geüpload."
The file was not uploaded.,Het bestand is niet geüpload.
This file is empty. Please try another one.,Dit bestand is leeg. Probeer een andere.
Data validation failed. Please fix the following errors and upload the file again.,Gegevensvalidatie mislukt. Corrigeer de volgende fouten en upload het bestand opnieuw.
"File is valid! To start import process press ""Import"" button","File is geldig! Om import proces druk op de ""Import"" knop start"
"The file is valid, but we can't import it for some reason.","Het bestand is geldig, maar we kunnen het niet importeren om wat voor reden."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Gecontroleerd tr: 1%, gecontroleerd entiteiten: 2%, ongeldige rijen: 3%, totale fouten: 4%"
Please specify a carrier.,Geef een carrier.
Please enter a tracking number.,Geef een volgnummer.
Cannot add tracking number.%1,Kan niet toevoegen aantal te volgen.% 1
We can't load track with retrieving identifier right now.%1,We kunnen geen spoor te laden met het ophalen van identifier op dit moment.% 1
We can't initialize shipment for adding tracking number.,We kunnen niet verzending initialiseren voor het toevoegen van tracking-nummer.
We can't delete tracking number.,We kunnen niet verwijderen tracking nummer.
Something went wrong while saving the vacation.,Er is iets misgegaan bij het opslaan van de vakantie.
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","U moet uw account te bevestigen. Controleer uw e-mail voor de bevestigingslink of <a href=""%1""> hier klikken </a> voor een nieuwe link."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Er is al een account met dit e-mailadres. Als u zeker weet dat het uw e-mailadres <a href=""%1""> klik hier </a> om uw wachtwoord en toegang tot uw account te krijgen."
We can't save the customer.,We kunnen de klant niet redden.
Please make sure your passwords match.,Zorg er alstublieft voor dat uw wachtwoorden overeenkomen.
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Als u een geregistreerde BTW klant, neem dan <a href=""%1""> klik hier </a> om uw afleveradres in te voeren voor de juiste btw-berekening."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Als u een geregistreerde BTW klant, neem dan <a href=""%1""> klik hier </a> naar uw factuuradres in te voeren voor de juiste btw-berekening."
Thank you for registering with %1.,Bedankt voor het registreren met% 1.
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Dit account is niet bevestigd. <a href=""%1""> Klik hier </a> om opnieuw verzenden bevestigings e-mail."
Invalid login or password.,Ongeldige login of wachtwoord.
A login and a password are required.,Een login en een wachtwoord vereist zijn.
Close,Dichtbij
Open,Open
Processing,Verwerken
Done,Gedaan
Approved,Goedgekeurd
Not Approved,Niet goedgekeurd
Reject,afwijzen
Accept,Aanvaarden
Enabled,Ingeschakeld
Disabled,Gehandicapt
- Disable these emails -,- Schakel deze e-mails -
List,Lijst
Grid,rooster
Product was not registered,Het product werd niet geregistreerd
Store was not registered,Store is niet geregistreerd
URL key already exists.' .,URL sleutel bestaat al.' .
URL key for specified store already exists.,URL sleutel voor gespecificeerde winkel bestaat al.
Product Attribute,product Attribute
Subtotal,Subtotaal
Total Items Quantity,Total Items Hoeveelheid
Total Weight,Totale gewicht
Payment Method,Betalingswijze
Shipping Method,Verzendmethode
Shipping Postcode,Verzenden postcode
Shipping Region,Shipping Region
Shipping State/Province,Verzending Staat / Provincie
Shipping Country,verzending Land
Product attribute combination,Product attribuut combinatie
Products subselection,producten subselectie
Conditions combination,voorwaarden combinatie
Cart Attribute,winkelwagen Attribute
Disapproved,Afgekeurd
Could not save the seller info: %1,Kon niet redden de verkoper info:% 1
Not Submited,niet Submited
Unapproved,unapproved
"We can't process your request right now. Sorry, that's all we know.","We kunnen niet uw verzoek op dit ogenblik verwerken. Sorry, dat is alles wat we weten."
Owl Carousel,Owl Carousel
Bootstrap Carousel,bootstrap Carousel
Amount from order,Bedrag van bestelling
invoice,factuur
Refunded,teruggestort
Refund from order,Terugbetaling van bestelling
Edit,Bewerk
View Customer,Bekijk Klant
View,Visie
Delete,Delete
"Delete ""${ $.$data.subject }""","Delete ""$ {$. $ Data.subject}"""
"Are you sure you wan't to delete a ""${ $.$data.subject }"" record?","Weet je zeker dat je wan't naar een delete ""$ {$. $ Data.subject}"" record?"
Unread,Ongelezen
Read,Lezen
What is the reason to deny this product?,Wat is de reden om dit product te ontkennen?
Deny,Ontkennen
Reset,Reset
Do you want set commission for product?,Wilt u ingesteld commissie voor het product?
View Product,Bekijk product
View Seller,Bekijk Verkoper
All Store Views,Alle Store Views
Delete ${ $.$data.name },Delete $ {$. $ Data.name}
Are you sure you want to delete a ${ $.$data.name } record?,Weet je zeker dat je een $ {$. $ Data.name} record wilt verwijderen?
Approved ${ $.$data.name },Goedgekeurde $ {$. $ Data.name}
Are you sure you want to enable a ${ $.$data.name } record?,Weet je zeker dat je een $ {$. $ Data.name} opname mogelijk te maken?
Disapproved ${ $.$data.name },Afgekeurd $ {$. $ Data.name}
Are you sure you want to disable a ${ $.$data.name } record?,Weet je zeker dat je een $ {$. $ Data.name} verslag uit te schakelen?
Complete Withdrawal,volledige terugtrekking
Canceled,Geannuleerd
Add Attribute,Attribuut toevoegen
Add Selected,Voeg geselecteerde toe
Select Attribute,Selecteer Kenmerk
New Attribute,nieuw kenmerk
New Category,Nieuwe categorie
Categories,Categorieën
[GLOBAL],[GLOBAAL]
Customizable Options,aanpasbare opties
Custom options let customers choose the product variations they want.,Aangepaste opties kunt klanten kiezen voor het product variaties ze willen.
Import Options,import Options
Add Option,add Option
New Option,nieuwe Optie
Select Product,Selecteer product
Import,Importeren
Option Title,optie Titel
Add Value,Waarde toevoegen
Option Type,Option Type
-- Please select --,-- Selecteer alstublieft --
Required,Verplicht
Price Type,Prijs Type
Max Characters,Max Characters
Compatible File Extensions,Compatible bestandsextensies
Maximum Image Size,Maximale beeldgrootte
Please leave blank if it is not an image.,Laat leeg als het niet een beeld.
px.,px.
%1,% 1
[WEBSITE],[WEBSITE]
[STORE VIEW],[STORE VIEW]
This item has weight,Dit item heeft een gewicht
This item has no weight,Dit punt heeft geen gewicht
Set Product as New From,Set Productinformatie als Nieuw van
"Related Products, Up-Sells, and Cross-Sells","Gerelateerde producten, Up-Sells, en Cross-Sells"
Related products are shown to customers in addition to the item the customer is looking at.,Gerelateerde producten worden getoond aan klanten in aanvulling op het item van de klant is op zoek naar.
Add Related Products,Voeg Gerelateerde producten
Related Products,gerelateerde producten
An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.,Een up-sell item wordt aangeboden aan de klant als een duurdere of hogere kwaliteit alternatief voor de producten van de klant is op zoek naar.
Add Up-Sell Products,Add up-sell producten
Up-Sell Products,Up-producten verkopen
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Deze ""impuls-buy"" producten verschijnen naast de winkelwagen als cross-verkoopt aan de items die al in de winkelwagen."
Add Cross-Sell Products,Voeg Cross-verkopen producten
Cross-Sell Products,Cross-verkopen producten
Add Selected Products,Producten toevoegen
Remove,Verwijderen
Thumbnail,thumbnail
Product in Websites,Product op Websites
"If your Magento site has multiple views, you can set the scope to apply to a specific view.",Als uw Magento site heeft meerdere weergaven kunt u het bereik ingesteld van toepassing is op een specifieke weergave.
Websites,websites
name,naam
Copy Data from,Gegevens kopiëren van
Browse to find or drag image here,Blader image drag hier te vinden of
Delete image,Verwijder afbeelding
Hidden,Verborgen
Alt Text,Alt-tekst
Image Size,Afbeeldingsgrootte
{size},{grootte}
Image Resolution,Foto resolutie
{width}^{height} px,{Width} ^ {hoogte} px
Browse Files...,Bestanden doorbladeren...
Choose Affected Attribute Set,Kies Getroffen Attribute Set
Confirm,Bevestigen
start typing to search attribute,beginnen met typen om attribuut zoeken
Title:,Titel:
Uploaded:,geüpload:
Uploader:,Uploader:
Duration:,Looptijd:
Basic Settings,Basis instellingen
Advanced Settings,Geavanceerde instellingen
Changes have been made to this section that have not been saved.,Er zijn wijzigingen aangebracht in deze sectie die niet zijn opgeslagen.
This tab contains invalid data. Please resolve this before saving.,Dit tabblad bevat ongeldige gegevens. Gelieve dit oplossen voordat u opslaat.
Continue,Doorgaan met
Mass Actions,massa-acties
Select All,Selecteer alles
Unselect All,Selectie ongedaan maken
Select Visible,Selecteer Zichtbaar
Unselect Visible,unselect Zichtbaar
Upload,Uploaden
Upload Image Product,Upload Afbeelding Product
Product Upload,product uploaden
Import Settings,Instellingen importeren
Check Data,Controleer gegevens
Please Select,Selecteer alstublieft
Download Sample File,Download Sample File
Import Behavior,import Gedrag
Add/Update,Toevoegen / bijwerken
Error Handling,foutafhandeling
Stop on Error,Stop bij fout
Skip error entries,Overslaan fout entries
Allowed Errors Count,Toegestaan ​​Fouten Count
Please specify number of errors to halt import process,Gelieve te specificeren aantal fouten tot stilstand import proces
Field separator,veldscheidingsteken
Multiple value separator,Veelzijdigheid analyseren separator
File to Import,File to Import
Select File to Import,Selecteer File to Import
Images File Directory,Afbeeldingen File Directory
*Notice Import image first,image * Let op Import eerste
Additional Settings,Aanvullende instellingen
records found,records gevonden
selected,geselecteerd
per page,per pagina
Previous page,Vorige pagina
of %1,% 1
Next page,Volgende pagina
Export to:,Exporteren naar:
Marketplace,Marktplaats
Marketplace Dashboard,Marketplace Dashboard
Seller Profile,Verkopersprofiel
Manager Product,Manager Product
Create Attribute,Kenmerk maken
New Products,Nieuwe Producten
My Products List,Mijn Producten Lijst
My Transaction List,Mijn Transactielijst
Manage Print PDF Header Info,Manage Print PDF Header Info
My Order History,Mijn Order History
Become Seller,Word Verkoper
Personal Information,Persoonlijke informatie
Seller General,verkoper General
Group,Groep
Url Key,url Key
"Example: Insert landofcoder,url shop will ","Voorbeeld: landofcoder Insert, url winkel wil"
Address Information,adres informatie
Company,Bedrijf
Phone Number,Telefoonnummer
Street Address,Woonadres
Street Address %1,Straatnaam 1
City,stad
State/Province,Staat / Provincie
"Please select a region, state or province.","Kies een regio, staat of provincie."
Zip/Postal Code,Zip / Postal Code
* Required Fields,* Verplichte velden
Sign-in Information,Inloggegevens
Password,Wachtwoord
Password Strength,wachtwoord sterkte
No Password,Geen wachtwoord
Confirm Password,bevestig wachtwoord
Privacy Policy,Privacybeleid
I agree the Terms and Condition,Ik ga akkoord de bepalingen en voorwaarden
Terms and Conditions,Voorwaarden
Create an Account,Account aanmaken
Back,Terug
Sold By,Verkocht door
Visit Shop,bezoek Shop
We can't find seller matching the selection.,We kunnen het niet vinden verkoper overeen met de selectie.
Created At,Gemaakt bij
Post Reply Message,Reageer Message
Message ,Bericht
Post Reply,Reageer
History Message,geschiedenis Message
We can't find products matching the selection.,We kunnen geen producten overeen met de selectie vindt.
Add to Cart,Voeg toe aan winkelkar
In stock,Op voorraad
Out of stock,Geen voorraad meer
Learn More,Kom meer te weten
Qty,Aantal
 Sales, verkoop
 Sale, Uitverkoop
Joined since ,Geregistreerd sinds
What’s on your mind?,Waar denk je aan?
Submit,voorleggen
Customer Name,klantnaam
Customer Email,Klanten email
"Turn in to a seller today and enjoy some incredible benefits like
				adding logo to your profile page for better branding, setting up
				multiple products to improve conversions, etc.","Lever aan een verkoper vandaag de dag en geniet van een aantal ongelooflijke voordelen, zoals
het toevoegen van logo aan uw profiel pagina voor een betere branding, het opzetten
veelvoudige conversies, etc. verbeteren"
Click the button to become a Seller,Klik op de knop om een ​​verkoper te worden
"Example: Insert landofcoder,url shop will","Voorbeeld: landofcoder Insert, url winkel wil"
"I
						agree the  Terms and Conditions","ik
het erover eens de Algemene Voorwaarden"
Admin Approval is required. Please wait until admin confirms your seller account.,Goedkeuring beheerder is vereist. Wacht tot admin bevestigt uw verkoper account.
Returns Policies,keert terug beleid
Shipping Policies,Verzendkosten beleid
Edit Profile Information,Profiel bewerken Informatie
Save Profile,Profiel opslaan
Twitter ID,Twitter ID
Facebook ID,Facebook identiteit
Instagram ID,Instagram ID
Google Plus ID,Google Plus ID
Youtube ID,Youtube ID
Vimeo ID,Vimeo ID
Pinterest ID,Pinterest ID
Rating(s),Waarderingen)
Registered Sellers,Registered Verkopers
"If you have an account, sign in with your email address.","Als je een account hebt, meld u aan met uw e-mailadres."
Login,Log in
Forgot Your Password?,Je wachtwoord vergeten?
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Het creëren van een account heeft vele voordelen: check out sneller, op meer dan één adres, track bestellingen en nog veel meer."
Customer ratings,klantbeoordelingen
star,ster
Write Your Own Review,Schrijf uw eigen review
You're rating,Je bent waarderen
How do you rate this seller,Wat vindt u van deze verkoper
Value,Waarde
Quality,Kwaliteit
What's your nickname?,Wat is jouw bijnaam?
What's your Email?,Wat is jouw e-mail?
Summary of Your Rating,Samenvatting van Uw Beoordeling
Let us know your thoughts,Laat ons weten wat uw gedachten
Submit Rating,Verstuur beoordeling
By,Door
 Rating(s), Waarderingen)
We can't find sellers matching the selection.,We kunnen niet verkopers overeen met de selectie te vinden.
Items,items
of,van
%1 Item,%1 artikel
%1 Items,% 1 Items
Previous,voorgaand
Next,De volgende
This operation can take a long time,Deze bewerking kan lang duren
Collapse All,Alles inklappen
Expand All,Alles uitvouwen
Please confirm site switching. All data that hasn't been saved will be lost.,Gelieve te bevestigen plaats switching. Alle gegevens die niet zijn opgeslagen gaan verloren.
None,Geen
Use Default Value,Standaard gebruiken Value
"Manage Titles (Size, Color, etc.)","Beheer Titles (formaat, kleur, etc.)"
